No.,importValidationStatus,importValidationStartTime,importValidationEndTime,importValidationMessages,dataProcessingStatus,dataProcessingStartTime,dataProcessingEndTime,dataProcessingMessages,identityProcessingStatus,identityProcessingStartTime,identityProcessingEndTime,identityProcessingMessages,Total Number of Records Not Processed,Total Number of Identities Updated,Total Number of Identities Created,Total Number of Identities Rejected,Total Number of Records Processed,createdTimeStamp,expiresTimeStamp,httpMethod,version,signedURL
11,Failed Validation,"Sunday, May 10, 2020 9:35:32 PM UTC","Sunday, May 10, 2020 9:35:33 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/ade8bf39493646bba49cd892a9ac165d' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
12,Failed Validation,"Sunday, May 10, 2020 9:32:16 PM UTC","Sunday, May 10, 2020 9:32:17 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/163356cd86b5401ba7c9dbd7e676d8fa' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
13,Failed Validation,"Sunday, May 10, 2020 9:31:45 PM UTC","Sunday, May 10, 2020 9:31:46 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/e95c1b25182f40c99a4c808b65995c1b' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
14,Failed Validation,"Sunday, May 10, 2020 9:27:57 PM UTC","Sunday, May 10, 2020 9:27:57 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/d6bf42e544904b6098e0ad5139f08816' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
15,Failed Validation,"Sunday, May 10, 2020 9:27:26 PM UTC","Sunday, May 10, 2020 9:27:30 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/00d8c5e149bf4d65b332e009c853028f' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
16,Failed Validation,"Sunday, May 10, 2020 9:24:37 PM UTC","Sunday, May 10, 2020 9:24:38 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/f7246fac55e7471abc289131856d740c' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
17,Failed Validation,"Sunday, May 10, 2020 9:24:06 PM UTC","Sunday, May 10, 2020 9:24:06 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/c8fa7b6fc6cf4104b9cb4685d8919867' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
18,Failed Validation,"Sunday, May 10, 2020 9:17:41 PM UTC","Sunday, May 10, 2020 9:17:41 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/c0f0db799c5643ea838c8e10dc8d1826' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
19,Failed Validation,"Sunday, May 10, 2020 9:17:10 PM UTC","Sunday, May 10, 2020 9:17:11 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/14d16ba7e8f44051bdd1eba58c764c6a' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
20,Failed Validation,"Sunday, May 10, 2020 8:17:07 PM UTC","Sunday, May 10, 2020 8:17:08 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/51ae5c87ed12428c95b884a0df1f6f67' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
21,Failed Validation,"Sunday, May 10, 2020 8:16:36 PM UTC","Sunday, May 10, 2020 8:16:37 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/e63a3ca64c8a4c32bc1c5736062b61ca' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
22,Failed Validation,"Sunday, May 10, 2020 8:12:04 PM UTC","Sunday, May 10, 2020 8:12:05 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/a87a8a0e2b6345de8d48ffb4cad8ac0b' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
23,Failed Validation,"Sunday, May 10, 2020 8:11:33 PM UTC","Sunday, May 10, 2020 8:11:34 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/999735a85e244f4bb1786730ae6f484d' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
24,Failed Validation,"Sunday, May 10, 2020 7:58:01 PM UTC","Sunday, May 10, 2020 7:58:02 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/6c7eb2c779034db7acb1d398aed046ec' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
25,Failed Validation,"Sunday, May 10, 2020 7:57:31 PM UTC","Sunday, May 10, 2020 7:57:31 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/56ec2af637bf4e9291de0ceb7fa8d965' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
26,Failed Validation,"Sunday, May 10, 2020 7:49:44 PM UTC","Sunday, May 10, 2020 7:49:44 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/8b8234d3b43e4d2fb29d841ce62afc51' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
27,Failed Validation,"Sunday, May 10, 2020 7:49:13 PM UTC","Sunday, May 10, 2020 7:49:16 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/19f944bea9fc45048ae042f0d9530e24' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
28,Failed Validation,"Sunday, May 10, 2020 7:40:08 PM UTC","Sunday, May 10, 2020 7:40:23 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/3c18f4d0197f49268b167b810e351b35' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
29,Failed Validation,"Sunday, May 10, 2020 7:39:37 PM UTC","Sunday, May 10, 2020 7:39:40 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/6bf47b910e304ebe9d69ad1686e3fa75' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
30,Failed Validation,"Sunday, May 10, 2020 7:29:44 PM UTC","Sunday, May 10, 2020 7:29:44 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/c7522c373d6740d985ade0e59bd0222b' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
31,Failed Validation,"Sunday, May 10, 2020 7:29:13 PM UTC","Sunday, May 10, 2020 7:29:13 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/09f96f3a43d64fe09bbf9baf3c83358a' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
32,Failed Validation,"Sunday, May 10, 2020 7:25:11 PM UTC","Sunday, May 10, 2020 7:25:12 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/4355f79d0df0419099730cb7dc0752a6' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
33,Failed Validation,"Sunday, May 10, 2020 7:24:40 PM UTC","Sunday, May 10, 2020 7:24:42 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/ac8896a7212444c0a7e862d6523a9327' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
34,Failed Validation,"Sunday, May 10, 2020 7:14:24 PM UTC","Sunday, May 10, 2020 7:14:25 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
35,Failed Validation,"Sunday, May 10, 2020 7:14:08 PM UTC","Sunday, May 10, 2020 7:14:09 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/75ef9f4974f34d87b7e104a0be8333e4' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
36,Failed Validation,"Sunday, May 10, 2020 7:01:50 PM UTC","Sunday, May 10, 2020 7:01:52 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
37,Failed Validation,"Sunday, May 10, 2020 7:00:06 PM UTC","Sunday, May 10, 2020 7:00:09 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
38,Failed Validation,"Sunday, May 10, 2020 6:54:38 PM UTC","Sunday, May 10, 2020 6:54:39 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
39,Failed Validation,"Sunday, May 10, 2020 6:52:16 PM UTC","Sunday, May 10, 2020 6:52:17 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
40,Failed Validation,"Sunday, May 10, 2020 6:32:56 PM UTC","Sunday, May 10, 2020 6:33:00 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
41,Failed Validation,"Sunday, May 10, 2020 6:28:33 PM UTC","Sunday, May 10, 2020 6:28:34 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
42,Failed Validation,"Sunday, May 10, 2020 6:09:17 PM UTC","Sunday, May 10, 2020 6:09:18 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/b242e73113464521b01f092e4d209d32' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
43,Validated,"Sunday, May 10, 2020 6:03:30 PM UTC","Sunday, May 10, 2020 6:03:49 PM UTC","{'info': None, 'error': None, 'warning': None}",Complete,"Sunday, May 10, 2020 6:03:49 PM UTC","Sunday, May 10, 2020 6:03:54 PM UTC","{'info': {'Total Number of Records Uploaded': '5'}, 'error': None, 'warning': None}",Syncing Identities,"Sunday, May 10, 2020 6:03:55 PM UTC",,"{'info': {'Total Number of Records Not Processed': '0', 'Total Number of Identities Updated': '0', 'Total Number of Identities Created': '0', 'Total Number of Identities Rejected': '0', 'Total Number of Records Processed': '5'}, 'error': None, 'warning': None}",0,0,0,0,5
44,Validated,"Friday, May 8, 2020 11:53:16 PM UTC","Friday, May 8, 2020 11:53:17 PM UTC","{'info': None, 'error': None, 'warning': None}",Complete,"Friday, May 8, 2020 11:53:17 PM UTC","Friday, May 8, 2020 11:53:18 PM UTC","{'info': {'Total Number of Records Uploaded': '5'}, 'error': None, 'warning': None}",Completed Identities,"Friday, May 8, 2020 11:53:18 PM UTC","Saturday, May 9, 2020 12:03:03 AM UTC","{'info': {'Total Number of Records Not Processed': '0', 'Total Number of Identities Updated': '0', 'Total Number of Identities Created': '0', 'Total Number of Identities Rejected': '0', 'Total Number of Records Processed': '5'}, 'error': None, 'warning': None}",0,0,0,0,5
45,Validated,"Friday, May 8, 2020 11:48:00 PM UTC","Friday, May 8, 2020 11:48:03 PM UTC","{'info': None, 'error': None, 'warning': None}",Complete,"Friday, May 8, 2020 11:48:03 PM UTC","Friday, May 8, 2020 11:48:04 PM UTC","{'info': {'Total Number of Records Uploaded': '5'}, 'error': None, 'warning': None}",Completed Identities,"Friday, May 8, 2020 11:48:08 PM UTC","Friday, May 8, 2020 11:48:15 PM UTC","{'info': {'Total Number of Records Not Processed': '0', 'Total Number of Identities Updated': '0', 'Total Number of Identities Created': '0', 'Total Number of Identities Rejected': '0', 'Total Number of Records Processed': '5'}, 'error': None, 'warning': None}",0,0,0,0,5
46,Validated,"Friday, May 8, 2020 11:32:44 PM UTC","Friday, May 8, 2020 11:33:03 PM UTC","{'info': None, 'error': None, 'warning': None}",Complete,"Friday, May 8, 2020 11:33:03 PM UTC","Friday, May 8, 2020 11:33:10 PM UTC","{'info': {'Total Number of Records Uploaded': '5'}, 'error': None, 'warning': None}",Syncing Identities,"Friday, May 8, 2020 11:33:11 PM UTC",,"{'info': {'Total Number of Records Not Processed': '0', 'Total Number of Identities Updated': '0', 'Total Number of Identities Created': '5', 'Total Number of Identities Rejected': '0', 'Total Number of Records Processed': '5'}, 'error': None, 'warning': None}",0,0,5,0,5
47,Failed Validation,"Friday, May 8, 2020 11:17:36 PM UTC","Friday, May 8, 2020 11:17:37 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/d51dd27120f44c8eaa60fcbdd29b6390' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
48,Failed Validation,"Friday, May 8, 2020 11:14:37 PM UTC","Friday, May 8, 2020 11:14:38 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/d51dd27120f44c8eaa60fcbdd29b6390' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
49,Failed Validation,"Friday, May 8, 2020 11:00:48 PM UTC","Friday, May 8, 2020 11:00:49 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
50,Failed Validation,"Friday, May 8, 2020 10:56:55 PM UTC","Friday, May 8, 2020 10:56:55 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
51,Failed Validation,"Friday, May 8, 2020 10:53:18 PM UTC","Friday, May 8, 2020 10:53:19 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
52,Failed Validation,"Friday, May 8, 2020 10:50:31 PM UTC","Friday, May 8, 2020 10:50:39 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
53,Failed Validation,"Friday, May 8, 2020 10:45:07 PM UTC","Friday, May 8, 2020 10:45:10 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
54,Failed Validation,"Friday, May 8, 2020 10:41:10 PM UTC","Friday, May 8, 2020 10:41:11 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
55,Failed Validation,"Friday, May 8, 2020 10:25:18 PM UTC","Friday, May 8, 2020 10:25:23 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
56,Failed Validation,"Friday, May 8, 2020 10:20:40 PM UTC","Friday, May 8, 2020 10:20:43 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/70f46d01ae19450ca2d4c286dc40a606' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
57,Failed Validation,"Friday, May 8, 2020 10:12:59 PM UTC","Friday, May 8, 2020 10:13:05 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/48f375bcbf96461e8b5ee9ea87d9a1fb' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
58,Failed Validation,"Friday, May 8, 2020 10:10:08 PM UTC","Friday, May 8, 2020 10:10:30 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/8775a588ba2546c3a0104da549879236' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
